寄送日期,廠商名稱,Email,狀態,來源公會,備註
2026-05-11,福懋興業股份有限公司,u106605@mst.ftc.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,展頌股份有限公司,service@chainlon.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,富吉林實業有限公司,info@fujyilin.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,友良高科技紡織股份有限公司,service@mail.u-long.com,已寄送,台灣絲織公會會員名單,
2026-05-11,佳和實業股份有限公司,ma3@chgtex.com,已寄送,台灣絲織公會會員名單,
2026-05-11,福勝紡織股份有限公司,fullsun@ms17.hinet.net,已寄送,台灣絲織公會會員名單,
2026-05-11,東纖精密工業股份有限公司,orientex@orientex.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,得力實業股份有限公司,taipei@delicacy.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,綺麥股份有限公司,vian@southwell.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,鍵誠紡織股份有限公司,solid.tex@msa.hinet.net,已寄送,台灣絲織公會會員名單,
2026-05-11,惠喬興業股份有限公司,,未寄送：無 Email,台灣絲織公會會員名單,
2026-05-11,東豐纖維企業股份有限公司,,未寄送：無 Email,台灣絲織公會會員名單,
2026-05-11,宏遠興業股份有限公司,,未寄送：無 Email,台灣絲織公會會員名單,
2026-05-11,德明針織股份有限公司,derming.ms41@gmail.com,已寄送,Google Map 海巡,官網留言
2026-05-11,和慶針織廠股份有限公司,all@herching.com.tw,已寄送,Google Map 海巡,
2026-05-11,RC Textile Co. Ltd.,service@rctex.com.tw,已寄送,Google Map 海巡,
2026-05-11,群纓針織有限公司,info@chining.com.tw,已寄送,Google Map 海巡,
2026-05-11,巧欣針織企業社,ciaotextile@gmail.com,已寄送,Google Map 海巡,
2026-05-11,聯業針織股份有限公司,betty@ucknits.com.tw,已寄送,Google Map 海巡,
2026-05-13,強盛染整股份有限公司,service@csgroup.com.tw,已寄送,紡織相關廠商,
2026-05-13,京昇紡織股份有限公司,jeffrey@jsfiber.com.tw,已寄送,紡織相關廠商,
2026-05-13,鈺盟企業股份有限公司,fa678889@ms38.hinet.net,已寄送,紡織相關廠商,
2026-05-13,台灣絲織開發股份有限公司,tfd2008.tfd2008@msa.hinet.net,已寄送,紡織相關廠商,
2026-05-13,洪良染織股份有限公司,nienna0618@hontex.com.tw,已寄送,紡織相關廠商,
2026-05-13,泓利廣企業股份有限公司,rich3518@ms29.hinet.net,已寄送,紡織相關廠商,
2026-05-13,台光染整股份有限公司,thc6677@yahoo.com.tw,已寄送,紡織相關廠商,
2026-05-13,信榮紡織股份有限公司,hj@hsinjung.com.tw,已寄送,紡織相關廠商,
2026-05-13,流亞科技股份有限公司,logicart@logicart.com.tw,已寄送,紡織相關廠商,
2026-05-13,吉使達企業有限公司,gst@giftstart.com.tw,已寄送,紡織相關廠商,
2026-05-13,源懋興業股份有限公司,service@yuantex.com.tw,已寄送,紡織相關廠商,
2026-05-13,優錦國際股份有限公司,ufa@ufa.tw,已寄送,紡織相關廠商,
2026-05-13,晶安有限公司,development@labtex.com.tw,已寄送,紡織相關廠商,
2026-05-13,中良工業股份有限公司,floratang@tiongliong.com,已寄送,紡織相關廠商,
2026-05-13,睿發企業有限公司,william@rueyfa.com,已寄送,紡織相關廠商,
2026-05-13,台灣檢驗科技股份有限公司,sam-tw.yang@sgs.com,已寄送,紡織相關廠商,
2026-05-13,立義實業股份有限公司,morris@eu-tex.com.tw,已寄送,紡織相關廠商,
2026-05-13,社團法人台灣產業用紡織品協會,ttta@ttta.org.tw,已寄送,紡織相關廠商,
2026-05-13,臺灣永光化學工業股份有限公司,yisheng@ecic.com.tw,已寄送,紡織相關廠商,
2026-05-13,泓鼎紡織有限公司,matt@hongdingtex.com.tw,已寄送,紡織相關廠商,
2026-05-13,Wayne Knitted 韋恩尼特,wayneknit@gmail.com,已寄送,紡織相關廠商,
2026-05-13,富順纖維工業股份有限公司,info@fuhsun.com,已寄送,紡織相關廠商,
2026-05-13,三亨紡織有限公司（DJ FABRIC MILL INC）,anthony@mail.djgroup.com.tw,已寄送,紡織相關廠商,
2026-05-13,謙武針織實業有限公司,handabo@ms10.hinet.net,已寄送,紡織相關廠商,
2026-05-13,世堡紡織股份有限公司,webmaster@supertextile.com,已寄送,紡織相關廠商,
